id;positions;name;description
1;ЦПЗ/ОПЗ/ЦЗ;Разрушитель;Упорный боец, который сдерживает атаки соперника, применяя жесткие подкаты и прессинг.
2;ЦЗ;Наращивание;Игрок, который предпочитает оттягиваться назад, чтобы получить мяч и начать атаку из глубины.
3;ЦН;Охотник за голами;Агрессивный бомбардир, действующий из-под прикрытия последнего защитника.
4;ЦН/ОФ/АПЗ;Отвлекающий;Игрок, отвлекающий защиту, чтобы создать свободную зону для маневра другим игрокам.
5;ЦН;Лис у ворот;Бомбардир, ожидающий паса в штрафной площадке соперника.
6;ЦН;Таран;Игрок выдвигается вперед и, получив пас, старается сохранить мяч благодаря крепкому телосложению.
7;ЦН/ОФ;Оттягивающийся форвард;Игрок нападения, который охотно отходит назад, чтобы получить пас и помочь в организации игры.
8;ОФ/ПрН/ЛН/АПЗ/ППЗ/ЛПЗ;Креативный плеймейкер;Игрок, который использует любую брешь в обороне соперника для организации атак и голевых передач.
9;ПрН/ЛН;Продуктивный вингер;Игрок, который ждет паса на фланге и при возможности иногда смещается к центру.
10;ПрН/ЛН/ППЗ/ЛПЗ;Смещение с фланга;Игрок часто смещается с фланга в центр, чтобы получить пас.
11;ПрН/ЛН/ППЗ/ЛПЗ;Специалист по навесам;Игрок, который покрывает всю бровку и ждем возможности сделать навес в штрафную соперкина.
12;ОФ/АПЗ;Классическая 10;Плеймейкер, который организовывает атаки вблизи штрафной площади, а при удабном случае и сам забивает голы. В защите он старается не делать рывков, чтобы свести к минимуму потерю выносливости.
13;ОФ/АПЗ/ППЗ/ЛПЗ/ЦПЗ;Атакующий полузащитник;Игрок, который во время атаки при первой же возможности врывается в штрафную площадь соперника.
14;ППЗ/ЛПЗ/ЦПЗ/ОПЗ;От штрафной до штрафной;Неутомимый игрок, который на протяжении игры снует по всему полю.
15;ОПЗ;Якорь;Полузащитник, который занимает глубокую позицию и обороняет заднюю линию.
16;ЦПЗ/ОПЗ;Дирижер;Игрок, оттягивающийся ближе к защите и готовый в любой момент организовать атаку.
17;ПрЗ/ЛЗ;Фланговый защитник;Защитник атакующего плана, который при удобном случае идет вперед и подключается к атакам.